hour,updated_type,updated_subtype,longitude,latitude,alert_count
03:00,Road Closed,Event,-87.65,41.88,371
03:00,Road Closed,Event,-87.64,41.71,191
03:00,Road Closed,Event,-87.64,41.83,188
03:00,Road Closed,Event,-87.6,41.69,186
03:00,Road Closed,Event,-87.65,41.93,50
03:00,Road Closed,Event,-87.65,41.94,44
03:00,Road Closed,Event,-87.66,41.95,18
03:00,Road Closed,Event,-87.64,41.93,17
03:00,Road Closed,Event,-87.65,41.95,14
03:00,Road Closed,Hazard,-87.65,41.88,1
03:00,Road Closed,Unclassified,-87.65,41.88,48
03:00,Road Closed,Unclassified,-87.63,41.88,15
03:00,Road Closed,Unclassified,-87.66,41.9,10
03:00,Road Closed,Unclassified,-87.66,41.94,10
03:00,Road Closed,Unclassified,-87.67,41.87,9
03:00,Road Closed,Unclassified,-87.63,41.87,9
03:00,Road Closed,Unclassified,-87.67,41.88,8
03:00,Road Closed,Unclassified,-87.68,41.9,6
03:00,Road Closed,Unclassified,-87.65,41.71,6
03:00,Road Closed,Unclassified,-87.68,41.88,5
04:00,Accident,Major,-87.65,41.87,16
04:00,Accident,Major,-87.64,41.79,10
04:00,Accident,Major,-87.65,41.85,9
04:00,Accident,Major,-87.65,41.86,9
04:00,Accident,Major,-87.64,41.8,9
